case_id,tweet_text,true_sentiment,pred_sentiment,airline,challenge_type,root_cause,business_consequence,mitigation
1,@united well it IS John Hughes' birthday. But ...,positive,negative,United,Cultural Reference / Sarcasm Context,Classifier associated 'birthday' and contrastive 'But' with frequent passenger complaints.,Misroutes positive brand engagement into critical support queues.,Expand n-gram context window and incorporate entity-aware sentimental syntax parsing.
2,@SouthwestAir do you ever reinstate Cancelled ...,negative,neutral,Southwest,Inquiry Phrasing / Implicit Negative,Sentence structure mimics informational inquiry ('do you ever...') without overt affective adjectives.,Flight cancellation grievance ignored by automated escalation system.,"Include domain cancellation terminology ('reinstate', 'cancelled') as high-risk negative indicators."
3,@SouthwestAir are you hiring for flight attend...,neutral,negative,Southwest,Neutral Factual / Career Inquiry,Class imbalance bias pulls ambiguous terms toward the negative majority prior.,Recruiting and HR queries incorrectly tagged as operational dissatisfaction.,Apply confidence threshold abstention and rule-based HR intent routing.
4,@USAirways @AmericanAir thought u merged but #...,negative,neutral,US Airways,Hashtag Irony / Multi-Entity Handle,Core negative sentiment resided inside an unsegmented hashtag after multi-handle prefix.,Misses passenger frustration regarding post-merger booking friction.,Implement Ekphrasis hashtag segmentation and punctuation token preservation.
5,@JetBlue yes he and all the princesses. Trying...,neutral,negative,Delta / JetBlue,Customer Service Banter,Token 'Trying' frequently co-occurs with 'trying to rebook' in complaint corpora.,Playful rapport with brand agent misdiagnosed as operational failure.,Multi-turn dialogue context modeling or thread-level sentiment tracking.
6,@united Thanks for the lack of help and the ca...,negative,positive,United,Sarcastic Gratitude ('Thanks for...'),Strong positive weight on unigram 'Thanks' overpowered the negative semantic modifier 'lack of help'.,Severe passenger distress marked as successful customer praise.,Incorporate dependency negation tagging and fine-tuned contextual transformers (BERTweet).
7,@AmericanAir I need refund.,negative,neutral,American,Short Transactional Imperative,No expressive sentiment tokens; 'refund' treated neutrally under bag-of-words.,Urgent financial refund request delayed in processing.,"Classify transactional keywords ('refund', 'baggage claim', 'voucher') as negative urgency triggers."
8,@united Club in Denver is dope 👌,positive,neutral,United,Modern Slang & Emoji Sentiment,Slang term 'dope' and emoji character were OOV or lacked positive polarity in standard TF-IDF vocab.,Lounge service VIP compliment unrecorded in executive brand dashboard.,Emoji demojization to text descriptions and modern Twitter slang lexicon mapping.
9,@AmericanAir I'll try to have a great week onc...,negative,positive,American,Conditional Politeness / Long Dependency,Positive phrase 'great week' masked the following clause 'once my lost bag is found'.,Lost luggage incident falsely scored as positive brand satisfaction.,Sequence transformers (BERTweet) capable of capturing long-range conditional clauses.
10,@united how long does it take for customer fee...,neutral,negative,United,Policy Inquiry / Neutral Query,Words 'customer fee' / 'feedback' carried high negative conditional association in airline domain.,Administrative inquiry inflated negative brand metric.,Intent classification layer preceding sentiment polarity assignment.
